# ell C_ell
1.019900e+04 3.550830e+00
1.020000e+04 3.550540e+00
1.020100e+04 3.550250e+00
1.020200e+04 3.549960e+00
1.020300e+04 3.549670e+00
1.020400e+04 3.549380e+00
1.020500e+04 3.549090e+00
1.020600e+04 3.548800e+00
1.020700e+04 3.548510e+00
1.020800e+04 3.548220e+00
1.020900e+04 3.547930e+00
1.021000e+04 3.547640e+00
1.021100e+04 3.547350e+00
1.021200e+04 3.547060e+00
1.021300e+04 3.546770e+00
1.021400e+04 3.546480e+00
1.021500e+04 3.546190e+00
1.021600e+04 3.545900e+00
1.021700e+04 3.545610e+00
1.021800e+04 3.545320e+00
1.021900e+04 3.545030e+00
1.022000e+04 3.544740e+00
1.022100e+04 3.544450e+00
1.022200e+04 3.544160e+00
1.022300e+04 3.543870e+00
1.022400e+04 3.543580e+00
1.022500e+04 3.543290e+00
1.022600e+04 3.543000e+00
1.022700e+04 3.542710e+00
1.022800e+04 3.542420e+00
1.022900e+04 3.542130e+00
1.023000e+04 3.541840e+00
1.023100e+04 3.541550e+00
1.023200e+04 3.541260e+00
1.023300e+04 3.540970e+00
1.023400e+04 3.540680e+00
1.023500e+04 3.540390e+00
1.023600e+04 3.540100e+00
1.023700e+04 3.539810e+00
1.023800e+04 3.539520e+00
1.023900e+04 3.539230e+00
1.024000e+04 3.538940e+00
1.024100e+04 3.538650e+00
1.024200e+04 3.538360e+00
1.024300e+04 3.538070e+00
1.024400e+04 3.537780e+00
1.024500e+04 3.537490e+00
1.024600e+04 3.537200e+00
1.024700e+04 3.536910e+00
1.024800e+04 3.536620e+00
1.024900e+04 3.536330e+00
1.025000e+04 3.536040e+00
1.025100e+04 3.535750e+00
1.025200e+04 3.535460e+00
1.025300e+04 3.535170e+00
1.025400e+04 3.534880e+00
1.025500e+04 3.534590e+00
1.025600e+04 3.534300e+00
1.025700e+04 3.534010e+00
1.025800e+04 3.533720e+00
1.025900e+04 3.533430e+00
1.026000e+04 3.533140e+00
1.026100e+04 3.532850e+00
1.026200e+04 3.532560e+00
1.026300e+04 3.532270e+00
1.026400e+04 3.531980e+00
1.026500e+04 3.531690e+00
1.026600e+04 3.531400e+00
1.026700e+04 3.531110e+00
1.026800e+04 3.530820e+00
1.026900e+04 3.530530e+00
1.027000e+04 3.530240e+00
1.027100e+04 3.529950e+00
1.027200e+04 3.529660e+00
1.027300e+04 3.529370e+00
1.027400e+04 3.529080e+00
1.027500e+04 3.528790e+00
1.027600e+04 3.528500e+00
1.027700e+04 3.528210e+00
1.027800e+04 3.527920e+00
1.027900e+04 3.527630e+00
1.028000e+04 3.527340e+00
1.028100e+04 3.527050e+00
1.028200e+04 3.526760e+00
1.028300e+04 3.526470e+00
1.028400e+04 3.526180e+00
1.028500e+04 3.525890e+00
1.028600e+04 3.525600e+00
1.028700e+04 3.525310e+00
1.028800e+04 3.525020e+00
1.028900e+04 3.524730e+00
1.029000e+04 3.524440e+00
1.029100e+04 3.524150e+00
