# ell C_ell
1.019800e+04 2.559056e+00
1.019900e+04 2.559183e+00
1.020000e+04 2.559310e+00
1.020100e+04 2.559437e+00
1.020200e+04 2.559564e+00
1.020300e+04 2.559691e+00
1.020400e+04 2.559818e+00
1.020500e+04 2.559945e+00
1.020600e+04 2.560072e+00
1.020700e+04 2.560199e+00
1.020800e+04 2.560326e+00
1.020900e+04 2.560453e+00
1.021000e+04 2.560580e+00
1.021100e+04 2.560707e+00
1.021200e+04 2.560834e+00
1.021300e+04 2.560961e+00
1.021400e+04 2.561088e+00
1.021500e+04 2.561215e+00
1.021600e+04 2.561342e+00
1.021700e+04 2.561469e+00
1.021800e+04 2.561596e+00
1.021900e+04 2.561723e+00
1.022000e+04 2.561850e+00
1.022100e+04 2.561977e+00
1.022200e+04 2.562104e+00
1.022300e+04 2.562231e+00
1.022400e+04 2.562358e+00
1.022500e+04 2.562485e+00
1.022600e+04 2.562612e+00
1.022700e+04 2.562739e+00
1.022800e+04 2.562866e+00
1.022900e+04 2.562993e+00
1.023000e+04 2.563120e+00
1.023100e+04 2.563247e+00
1.023200e+04 2.563374e+00
1.023300e+04 2.563501e+00
1.023400e+04 2.563628e+00
1.023500e+04 2.563755e+00
1.023600e+04 2.563882e+00
1.023700e+04 2.564009e+00
1.023800e+04 2.564136e+00
1.023900e+04 2.564263e+00
1.024000e+04 2.564390e+00
1.024100e+04 2.564517e+00
1.024200e+04 2.564644e+00
1.024300e+04 2.564771e+00
1.024400e+04 2.564898e+00
1.024500e+04 2.565025e+00
1.024600e+04 2.565152e+00
1.024700e+04 2.565279e+00
1.024800e+04 2.565406e+00
1.024900e+04 2.565533e+00
1.025000e+04 2.565660e+00
1.025100e+04 2.565787e+00
1.025200e+04 2.565914e+00
1.025300e+04 2.566041e+00
1.025400e+04 2.566168e+00
1.025500e+04 2.566295e+00
1.025600e+04 2.566422e+00
1.025700e+04 2.566549e+00
1.025800e+04 2.566676e+00
1.025900e+04 2.566803e+00
1.026000e+04 2.566930e+00
1.026100e+04 2.567057e+00
1.026200e+04 2.567184e+00
1.026300e+04 2.567311e+00
1.026400e+04 2.567438e+00
1.026500e+04 2.567565e+00
1.026600e+04 2.567692e+00
1.026700e+04 2.567819e+00
1.026800e+04 2.567946e+00
1.026900e+04 2.568073e+00
1.027000e+04 2.568200e+00
1.027100e+04 2.568327e+00
1.027200e+04 2.568454e+00
1.027300e+04 2.568581e+00
1.027400e+04 2.568708e+00
1.027500e+04 2.568835e+00
1.027600e+04 2.568962e+00
1.027700e+04 2.569089e+00
1.027800e+04 2.569216e+00
1.027900e+04 2.569343e+00
1.028000e+04 2.569470e+00
1.028100e+04 2.569597e+00
1.028200e+04 2.569724e+00
1.028300e+04 2.569851e+00
1.028400e+04 2.569978e+00
1.028500e+04 2.570105e+00
1.028600e+04 2.570232e+00
1.028700e+04 2.570359e+00
1.028800e+04 2.570486e+00
1.028900e+04 2.570613e+00
1.029000e+04 2.570740e+00
1.029100e+04 2.570867e+00
1.029200e+04 2.570994e+00
1.029300e+04 2.571121e+00
1.029400e+04 2.571248e+00
1.029500e+04 2.571375e+00
1.029600e+04 2.571502e+00
1.029700e+04 2.571629e+00
1.029800e+04 2.571756e+00
1.029900e+04 2.571883e+00
1.030000e+04 2.572010e+00
1.030100e+04 2.572137e+00
1.030200e+04 2.572264e+00
1.030300e+04 2.572391e+00
1.030400e+04 2.572518e+00
1.030500e+04 2.572645e+00
1.030600e+04 2.572772e+00
1.030700e+04 2.572899e+00
1.030800e+04 2.573026e+00
1.030900e+04 2.573153e+00
1.031000e+04 2.573280e+00
1.031100e+04 2.573407e+00
1.031200e+04 2.573534e+00
1.031300e+04 2.573661e+00
1.031400e+04 2.573788e+00
1.031500e+04 2.573915e+00
1.031600e+04 2.574042e+00
1.031700e+04 2.574169e+00
1.031800e+04 2.574296e+00
1.031900e+04 2.574423e+00
1.032000e+04 2.574550e+00
1.032100e+04 2.574677e+00
1.032200e+04 2.574804e+00
1.032300e+04 2.574931e+00
1.032400e+04 2.575058e+00
1.032500e+04 2.575185e+00
1.032600e+04 2.575312e+00
1.032700e+04 2.575439e+00
1.032800e+04 2.575566e+00
1.032900e+04 2.575693e+00
1.033000e+04 2.575820e+00
1.033100e+04 2.575947e+00
1.033200e+04 2.576074e+00
1.033300e+04 2.576201e+00
1.033400e+04 2.576328e+00
1.033500e+04 2.576455e+00
1.033600e+04 2.576582e+00
1.033700e+04 2.576709e+00
1.033800e+04 2.576836e+00
1.033900e+04 2.576963e+00
1.034000e+04 2.577090e+00
1.034100e+04 2.577217e+00
1.034200e+04 2.577344e+00
1.034300e+04 2.577471e+00
1.034400e+04 2.577598e+00
1.034500e+04 2.577725e+00
1.034600e+04 2.577852e+00
1.034700e+04 2.577979e+00
1.034800e+04 2.578106e+00
1.034900e+04 2.578233e+00
1.035000e+04 2.578360e+00
1.035100e+04 2.578487e+00
1.035200e+04 2.578614e+00
1.035300e+04 2.578741e+00
1.035400e+04 2.578868e+00
1.035500e+04 2.578995e+00
1.035600e+04 2.579122e+00
1.035700e+04 2.579249e+00
1.035800e+04 2.579376e+00
1.035900e+04 2.579503e+00
1.036000e+04 2.579630e+00
1.036100e+04 2.579757e+00
1.036200e+04 2.579884e+00
1.036300e+04 2.580011e+00
1.036400e+04 2.580138e+00
1.036500e+04 2.580265e+00
1.036600e+04 2.580392e+00
1.036700e+04 2.580519e+00
1.036800e+04 2.580646e+00
1.036900e+04 2.580773e+00
1.037000e+04 2.580900e+00
1.037100e+04 2.581027e+00
1.037200e+04 2.581154e+00
1.037300e+04 2.581281e+00
1.037400e+04 2.581408e+00
1.037500e+04 2.581535e+00
1.037600e+04 2.581662e+00
1.037700e+04 2.581789e+00
1.037800e+04 2.581916e+00
1.037900e+04 2.582043e+00
1.038000e+04 2.582170e+00
1.038100e+04 2.582297e+00
1.038200e+04 2.582424e+00
1.038300e+04 2.582551e+00
